split1,split2
"genus_Agastache","genus_Agastache"
"Agathis","Agathis"
"genus_Agathis","genus_Agathis"
"Agavaceae","Agavaceae"
"family_Agavaceae","family_Agavaceae"
"agave_family","agave_family"
"sisal_family","sisal_family"
"Agave_tequilana","Agave_tequilana"
"Agdestis","Agdestis"
"genus_Agdestis","genus_Agdestis"
"Agdistis","Agdistis"
"Agee","Agee"
"James_Agee","James_Agee"
"Agelaius","Agelaius"
"genus_Agelaius","genus_Agelaius"
"Agent_Orange","Agent_Orange"
"Ageratina","Ageratina"
"genus_Ageratina","genus_Ageratina"
"Aghan","Aghan"
"Margasivsa","Margasivsa"
"Agincourt","Agincourt"
"Agkistrodon","Agkistrodon"
"genus_Agkistrodon","genus_Agkistrodon"
"Ancistrodon","Ancistrodon"
"genus_Ancistrodon","genus_Ancistrodon"
"Aglaia","Aglaia"
"Aglaomorpha","Aglaomorpha"
"genus_Aglaomorpha","genus_Aglaomorpha"
"Aglaonema","Aglaonema"
"genus_Aglaonema","genus_Aglaonema"
"Agnatha","Agnatha"
"superclass_Agnatha","superclass_Agnatha"
"Agni","Agni"
"Agnus_Dei","Agnus_Dei"
"Paschal_Lamb","Paschal_Lamb"
"Agnus_Dei","Agnus_Dei"
"Agonidae","Agonidae"
"family_Agonidae","family_Agonidae"
"Agonus","Agonus"
"genus_Agonus","genus_Agonus"
"Agra","Agra"
"Agricola","Agricola"
"Gnaeus_Julius_Agricola","Gnaeus_Julius_Agricola"
"Agrigento","Agrigento"
"Acragas","Acragas"
"Girgenti","Girgenti"
"Agriocharis","Agriocharis"
"genus_Agriocharis","genus_Agriocharis"
"Agrippa","Agrippa"
"Marcus_Vipsanius_Agrippa","Marcus_Vipsanius_Agrippa"
"Agrippina","Agrippina"
"Agrippina_the_Younger","Agrippina_the_Younger"
"Agrippina","Agrippina"
"Agrippina_the_Elder","Agrippina_the_Elder"
"Agrobacterium","Agrobacterium"
"genus_Agrobacterium","genus_Agrobacterium"
"Agrobacterium_tumefaciens","Agrobacterium_tumefaciens"
"Agropyron","Agropyron"
"genus_Agropyron","genus_Agropyron"
"Agrostemma","Agrostemma"
"genus_Agrostemma","genus_Agrostemma"
"Agrostis","Agrostis"
"genus_Agrostis","genus_Agrostis"
"Ahab","Ahab"
"Ahriman","Ahriman"
"Ahuehuete","Ahuehuete"
"Tule_tree","Tule_tree"
"Ahura","Ahura"
"Aiken","Aiken"
"Conrad_Aiken","Conrad_Aiken"
"Conrad_Potter_Aiken","Conrad_Potter_Aiken"
"Ailey","Ailey"
"Alvin_Ailey","Alvin_Ailey"
"Ailuropoda","Ailuropoda"
"genus_Ailuropoda","genus_Ailuropoda"
"Ailuropodidae","Ailuropodidae"
"family_Ailuropodidae","family_Ailuropodidae"
"Ailurus","Ailurus"
"genus_Ailurus","genus_Ailurus"
"Air_Combat_Command","Air_Combat_Command"
"ACC","ACC"
"Air_Corps","Air_Corps"
"Air_Force_Intelligence_Surveillance_and_Reconnaissance","Air_Force_Intelligence_Surveillance_and_Reconnaissance"
"Air_Force_ISR","Air_Force_ISR"
"AFISR","AFISR"
"Air_Force_Research_Laboratory","Air_Force_Research_Laboratory"
"AFRL","AFRL"
"Air_Force_Space_Command","Air_Force_Space_Command"
"AFSPC","AFSPC"
"Air_Medal","Air_Medal"
"Air_National_Guard","Air_National_Guard"
"ANG","ANG"
"Aire","Aire"
"River_Aire","River_Aire"
"Aire_River","Aire_River"
"Airedale","Airedale"
"Airedale_terrier","Airedale_terrier"
"Aix","Aix"
"genus_Aix","genus_Aix"
"Aizoaceae","Aizoaceae"
"family_Aizoaceae","family_Aizoaceae"
"Tetragoniaceae","Tetragoniaceae"
"family_Tetragoniaceae","family_Tetragoniaceae"
"carpetweed_family","carpetweed_family"
"Ajaia","Ajaia"
"genus_Ajaia","genus_Ajaia"
"Ajax","Ajax"
"Ajuga","Ajuga"
"genus_Ajuga","genus_Ajuga"
"Akan","Akan"
"Akeridae","Akeridae"
"family_Akeridae","family_Akeridae"
"Akhbari","Akhbari"
"Akhenaton","Akhenaton"
"Akhenaten","Akhenaten"
"Ikhanaton","Ikhanaton"
"Amenhotep_IV","Amenhotep_IV"
"Akkadian","Akkadian"
